Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,7278717,34250,0.004706,3.2556,1.0,0.01532
Apache,71887,409,0.005703,3.082,1.0,0.017578
Cochise,125922,253,0.002017,3.2198,1.0,0.006495
Coconino,143476,430,0.003004,3.0134,1.0,0.009052
Gila,54018,226,0.004202,3.2812,1.0,0.013789
Graham,38837,293,0.00757,3.2599,1.0,0.024678
Greenlee,9498,17,0.001895,3.1333,1.0,0.005938
La Paz,21108,67,0.003222,3.21,1.0,0.010341
Maricopa,4485414,22336,0.00498,3.2409,1.0,0.016139
Mohave,212181,1243,0.005863,3.5359,1.0,0.020731
Navajo,110924,499,0.004508,3.3721,1.0,0.0152
Pima,1047279,4487,0.004285,3.3158,1.0,0.014209
Pinal,462789,2614,0.005651,3.2535,1.0,0.018384
Santa Cruz,46498,127,0.002753,3.2884,1.0,0.009052
Yavapai,235099,487,0.002076,3.3228,1.0,0.006897
Yuma,213787,762,0.003569,3.5348,1.0,0.012616
