Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1344212,2497,0.001858,2.632,1.0,0.004891
Androscoggin,108277,279,0.002586,2.8432,1.0,0.007352
Aroostook,67055,57,0.000865,2.3273,1.0179,0.002049
Cumberland,295003,604,0.002051,2.6198,1.0,0.005373
Franklin,30199,92,0.00308,3.1611,1.0,0.009735
Hancock,54987,52,0.000964,2.5866,1.1064,0.002758
Kennebec,122302,248,0.002036,2.7131,1.0,0.005524
Knox,39772,30,0.000779,2.4582,1.0,0.001916
Lincoln,34634,34,0.001011,2.9199,1.0,0.002951
Oxford,57975,144,0.002501,2.5754,1.0,0.006441
Penobscot,152148,222,0.001466,2.6845,1.0,0.003935
Piscataquis,16785,18,0.001132,2.5075,1.0,0.002838
Sagadahoc,35856,84,0.002371,3.0219,1.012,0.00725
Somerset,50484,53,0.00107,2.6145,1.0,0.002797
Waldo,39715,42,0.001083,2.5582,1.0,0.00277
Washington,31379,73,0.002358,3.2782,1.3519,0.010451
York,207641,462,0.00223,2.5985,1.0,0.005794
