Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6045680,12498,0.002067,2.8689,1.0,0.005931
Allegany,70416,110,0.001576,2.9339,1.0,0.004625
Anne Arundel,579234,1280,0.002212,2.8697,1.0,0.006346
Baltimore,827370,1655,0.002002,2.8747,1.0091,0.005806
Calvert,92525,157,0.001708,2.9635,1.0,0.005061
Caroline,33406,128,0.003862,3.13,1.0756,0.013001
Carroll,168447,334,0.001989,2.8387,1.1096,0.006264
Cecil,102855,138,0.001351,2.7763,1.0,0.003752
Charles,163257,393,0.002413,3.025,1.0,0.007301
Dorchester,31929,134,0.004228,2.9298,1.072,0.01328
Frederick,259547,533,0.002057,2.8341,1.0,0.005831
Garrett,29014,38,0.001344,2.9934,1.0,0.004024
Harford,255441,515,0.00202,2.911,1.0,0.00588
Howard,325690,554,0.001704,2.8078,1.0036,0.004802
Kent,19422,35,0.001854,2.8584,1.0,0.005298
Montgomery,1050688,2026,0.001929,2.9391,1.0,0.00567
Prince George's,909327,2237,0.002461,2.9725,1.0,0.007316
Queen Anne's,50381,72,0.001449,2.9454,1.0,0.004268
St. Mary's,113510,215,0.001903,2.9374,1.0,0.00559
Somerset,25616,80,0.003162,2.8071,1.0,0.008876
Talbot,37181,86,0.00234,2.9708,1.0,0.006951
Washington,151049,423,0.002807,3.0639,1.0,0.0086
Wicomico,103609,255,0.002471,2.9465,1.0,0.00728
Worcester,52276,99,0.001913,2.8521,1.0,0.005456
Baltimore City,593490,1001,0.001688,2.6505,1.0,0.004475
