Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,578759,995,0.001721,2.6188,1.0,0.004507
Albany,38880,49,0.001286,2.6003,1.0,0.003344
Big Horn,11790,34,0.002969,3.1847,1.4783,0.013976
Campbell,46341,57,0.001252,3.0402,1.0,0.003805
Carbon,14800,50,0.003446,2.9669,1.0,0.010224
Converse,13822,11,0.000868,3.0964,1.375,0.003696
Crook,7584,4,0.000659,2.6188,1.0,0.001727
Fremont,39261,94,0.00242,2.4846,1.0,0.006012
Goshen,13211,16,0.001287,2.9304,1.1429,0.00431
Hot Springs,4413,3,0.000906,2.7566,1.0,0.002499
Johnson,8445,2,0.000355,2.6215,1.0,0.000931
Laramie,99500,69,0.000704,2.6978,1.0,0.001898
Lincoln,19830,46,0.00237,4.0804,1.5333,0.014829
Natrona,79858,145,0.001828,2.6048,1.0,0.004762
Niobrara,2356,1,0.000849,2.6188,1.0,0.002223
Park,29194,25,0.000891,2.9494,1.0,0.002627
Platte,8393,19,0.002383,3.9514,2.0,0.018832
Sheridan,30485,48,0.001607,3.2028,1.3333,0.006864
Sublette,9831,13,0.001424,2.9339,1.8571,0.007759
Sweetwater,42343,85,0.002031,2.5107,1.0,0.005099
Teton,23464,165,0.007075,2.8954,1.0,0.020484
Uinta,20226,55,0.002769,2.6003,1.0,0.007199
Washakie,7805,5,0.000769,3.6447,1.0,0.002802
Weston,6927,-1,0.0,2.6188,1.0,0.0
